Country,Latitude ,Longitude,OOSR_Pre0Primary_Age_Male,OOSR_Pre0Primary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Brazil,14.235004,51.92528,0,1,1,1,2,3,16,14,95,97,81,89,65,75,80,71,53,52,50,32,99,99,13.92,115.4,51.3,12.08,Latin America and Caribbean,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015
Bulgaria,42.733883,25.48583,19,20,13,13,12,13,10,14,0,0,0,0,0,0,0,0,95,75,53,56,0,0,8.9,89.3,71.0,4.34,Central and Eastern Europe,5.266,0.054,5.371,5.16,10.016,0.931,67.0,0.788,-0.096,0.932,2.43,1.181,1.055,0.583,0.494,0.125,0.005,1.823
Burkina Faso,12.238333,1.561593,81,81,21,22,48,44,67,65,32,29,13,6,6,2,36,59,21,22,0,0,62,55,37.93,96.1,6.5,6.26,Sub-Saharan Africa,4.834,0.081,4.993,4.675,7.678,0.672,54.151,0.695,-0.009,0.748,2.43,0.364,0.472,0.179,0.381,0.182,0.122,3.133
Burundi,3.373056,29.918886,52,50,9,6,36,31,67,62,46,54,26,19,4,3,79,97,7,40,0,0,0,0,39.01,121.4,6.1,1.43,Sub-Saharan Africa,3.775,0.107,3.985,3.565,6.635,0.49,53.4,0.626,-0.024,0.607,2.43,0.0,0.062,0.155,0.298,0.172,0.212,2.876
Cambodia,12.565679,104.990963,48,44,9,9,12,14,0,0,68,79,41,39,20,20,0,0,50,0,8,10,0,0,22.46,107.4,13.7,0.68,Southeast Asia,4.83,0.067,4.963,4.698,8.36,0.765,62.0,0.959,0.034,0.843,2.43,0.603,0.68,0.426,0.702,0.21,0.061,2.148
Cameroon,7.369722,12.354722,56,57,4,13,33,40,50,58,75,74,52,43,26,21,30,57,24,12,0,0,88,82,35.39,103.4,12.8,3.38,Sub-Saharan Africa,5.142,0.074,5.288,4.996,8.189,0.71,53.515,0.731,0.026,0.848,2.43,0.543,0.556,0.159,0.425,0.205,0.058,3.195
Canada,56.130366,106.346771,0,0,0,0,0,0,6,6,0,0,0,0,0,0,96,69,0,0,86,84,0,0,10.1,100.9,68.9,5.56,North America and ANZ,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585
Chad,15.454166,18.732207,85,87,17,35,55,70,71,85,31,24,18,10,15,6,18,48,3,3,0,0,0,0,42.17,86.8,3.3,1.89,Sub-Saharan Africa,4.355,0.094,4.54,4.171,7.364,0.619,48.478,0.579,0.041,0.807,2.43,0.255,0.353,0.0,0.24,0.215,0.084,3.209
Chile,35.675147,71.542969,8,8,1,2,5,6,5,5,96,97,94,97,83,88,94,90,70,75,68,28,0,0,12.43,101.4,88.5,7.09,Latin America and Caribbean,6.172,0.046,6.262,6.081,10.071,0.882,70.0,0.742,-0.044,0.83,2.43,1.2,0.946,0.678,0.438,0.159,0.07,2.682
China,35.86166,104.195397,0,0,0,0,0,0,0,0,97,97,93,93,63,67,82,85,0,0,80,79,100,100,10.9,100.2,50.6,4.32,East Asia,5.339,0.029,5.397,5.281,9.673,0.811,69.593,0.904,-0.146,0.755,2.43,1.061,0.785,0.665,0.636,0.093,0.117,1.982
