Country,Latitude ,Longitude,OOSR_Pre0Primary_Age_Male,OOSR_Pre0Primary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Libya,26.3351,17.228331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.83,109.0,60.5,18.56,Middle East and North Africa,5.41,0.076,5.558,5.262,9.622,0.827,62.3,0.771,-0.087,0.667,2.43,1.044,0.821,0.435,0.474,0.131,0.174,2.331
Lithuania,55.169438,23.881275,3,3,0,0,0,0,4,2,0,0,0,0,0,0,0,0,97,81,76,74,0,0,10.0,103.9,72.4,6.35,Central and Eastern Europe,6.255,0.045,6.344,6.167,10.499,0.935,67.906,0.773,-0.203,0.826,2.43,1.35,1.065,0.612,0.476,0.056,0.073,2.624
Luxembourg,49.815273,6.129583,1,1,1,1,4,5,22,17,0,0,0,0,0,0,0,0,0,0,71,73,0,0,10.3,102.3,19.2,5.36,Western Europe,7.324,0.037,7.396,7.252,11.647,0.908,72.6,0.907,-0.034,0.386,2.43,1.751,1.003,0.76,0.639,0.166,0.353,2.653
Madagascar,18.766947,46.869107,43,38,0,0,31,29,63,64,52,60,26,27,16,15,13,0,4,5,0,0,82,81,32.66,142.5,5.4,1.76,Sub-Saharan Africa,4.208,0.072,4.349,4.068,7.396,0.686,59.305,0.552,-0.005,0.803,2.43,0.266,0.503,0.341,0.207,0.185,0.087,2.62
Malawi,13.254308,34.301525,0,0,0,0,19,18,62,76,43,52,23,21,15,13,0,0,0,0,0,0,0,0,34.12,142.5,0.8,5.65,Sub-Saharan Africa,3.6,0.092,3.781,3.419,6.958,0.537,57.948,0.78,0.038,0.729,2.43,0.113,0.168,0.298,0.484,0.213,0.134,2.19
Malaysia,4.210484,101.975766,1,1,0,0,15,12,41,32,0,0,0,0,0,0,0,0,0,0,54,59,97,97,16.75,105.3,45.1,3.32,Southeast Asia,5.384,0.049,5.48,5.289,10.238,0.817,67.102,0.895,0.125,0.839,2.43,1.259,0.797,0.587,0.624,0.27,0.064,1.784
Maldives,3.202778,73.22068,8,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,97.1,31.2,6.14,South Asia,5.198,0.072,5.339,5.057,9.826,0.913,70.6,0.854,0.024,0.825,2.43,1.115,1.015,0.697,0.575,0.204,0.073,1.52
Mali,17.570692,3.996166,53,57,38,44,49,56,71,79,50,41,36,25,23,12,0,0,0,0,0,0,58,43,41.54,75.6,4.5,7.22,Sub-Saharan Africa,4.723,0.082,4.884,4.563,7.744,0.724,51.969,0.697,-0.036,0.827,2.43,0.387,0.59,0.11,0.384,0.164,0.072,3.016
Malta,35.937496,14.375416,0,5,0,0,2,1,10,7,0,0,0,0,0,0,73,0,0,0,64,62,99,100,9.2,105.0,54.3,3.47,Western Europe,6.602,0.044,6.688,6.516,10.674,0.931,72.2,0.927,0.133,0.653,2.43,1.411,1.055,0.747,0.664,0.275,0.183,2.268
Mauritania,21.00789,10.940835,0,0,25,21,31,25,63,59,68,58,53,40,31,23,0,0,0,0,0,0,0,0,33.69,99.9,5.0,9.55,Sub-Saharan Africa,4.227,0.07,4.365,4.09,8.542,0.795,57.161,0.561,-0.106,0.731,2.43,0.666,0.749,0.273,0.218,0.119,0.133,2.069
Mauritius,20.348404,57.552152,9,8,3,1,6,4,25,17,0,0,0,0,0,0,0,0,88,78,0,0,99,99,10.2,101.1,40.6,6.67,Sub-Saharan Africa,6.049,0.059,6.165,5.933,10.008,0.905,66.701,0.867,-0.054,0.789,2.43,1.178,0.996,0.574,0.59,0.153,0.096,2.462
Mexico,23.634501,102.552784,2,0,0,0,9,7,28,24,98,98,87,90,56,60,78,77,58,69,55,44,99,99,17.6,105.8,40.2,3.42,Latin America and Caribbean,6.317,0.053,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961
Mongolia,46.862496,103.846656,3,5,2,3,8,7,22,20,96,98,87,93,60,73,44,0,0,0,0,0,98,99,24.13,104.0,65.6,6.01,East Asia,5.677,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.116,0.856,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492
Montenegro,42.708678,19.37439,23,24,3,3,8,7,12,10,95,98,93,97,83,90,0,0,0,0,56,54,99,99,11.73,100.0,56.1,14.88,Central and Eastern Europe,5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254
Morocco,31.791702,7.09262,31,39,2,3,8,11,26,30,0,0,0,0,0,0,36,16,0,0,27,14,98,97,18.94,113.9,35.9,9.02,Middle East and North Africa,4.918,0.06,5.036,4.8,8.903,0.56,66.208,0.774,-0.236,0.801,2.43,0.792,0.219,0.558,0.477,0.034,0.088,2.749
Mozambique,18.665695,35.529562,0,0,1,4,39,47,65,73,44,39,15,11,8,5,0,0,0,0,0,0,0,0,37.52,112.6,7.3,3.24,Sub-Saharan Africa,4.794,0.103,4.997,4.592,7.158,0.744,54.706,0.882,0.061,0.684,2.43,0.183,0.634,0.196,0.608,0.228,0.163,2.783
Myanmar,21.916221,95.955974,88,88,0,0,22,20,47,38,82,84,45,45,14,19,0,0,0,0,0,0,0,0,17.55,112.3,18.8,1.58,Southeast Asia,4.426,0.052,4.527,4.324,8.541,0.779,59.302,0.876,0.509,0.66,2.43,0.666,0.713,0.341,0.601,0.52,0.178,1.407
Namibia,22.95764,18.49041,33,30,0,0,0,0,0,0,75,86,48,62,33,39,0,0,35,6,0,0,94,96,28.64,124.2,22.9,20.27,Sub-Saharan Africa,4.574,0.064,4.7,4.448,9.161,0.818,56.799,0.719,-0.149,0.847,2.43,0.882,0.801,0.262,0.411,0.091,0.059,2.068
Nepal,28.394857,84.124008,9,17,0,0,4,1,26,13,81,83,71,75,27,28,0,0,0,0,0,0,94,91,19.89,142.1,12.4,1.41,South Asia,5.269,0.07,5.406,5.132,8.12,0.774,64.233,0.782,0.152,0.727,2.43,0.519,0.702,0.496,0.488,0.287,0.135,2.642
Netherlands,52.132633,5.291266,1,0,1,1,3,2,1,1,0,0,0,0,0,0,99,83,0,0,76,84,0,0,9.7,104.2,85.0,3.2,Western Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798
New Zealand,40.900557,174.885971,6,7,1,1,1,1,4,1,0,0,0,0,0,0,90,59,0,0,81,78,0,0,11.98,100.0,82.0,4.07,North America and ANZ,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612
Nicaragua,12.865416,85.207229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,44,31,20,0,0,0,0,20.64,120.6,17.4,6.84,Latin America and Caribbean,5.972,0.083,6.134,5.81,8.62,0.864,67.657,0.836,0.02,0.664,2.43,0.693,0.904,0.604,0.553,0.201,0.176,2.841
Niger,17.607789,8.081666,76,76,37,45,61,69,84,89,35,24,10,4,4,1,9,27,2,1,0,0,51,36,46.08,74.7,4.4,0.47,Sub-Saharan Africa,5.074,0.102,5.273,4.875,7.098,0.641,53.78,0.806,0.018,0.693,2.43,0.162,0.402,0.167,0.516,0.2,0.157,3.47
Nigeria,9.081999,8.675277,0,0,0,0,0,0,0,0,71,71,66,59,57,44,0,0,0,0,0,0,82,68,37.91,84.7,10.2,8.1,Sub-Saharan Africa,4.759,0.052,4.861,4.658,8.533,0.74,50.102,0.737,0.037,0.878,2.43,0.663,0.625,0.051,0.433,0.212,0.039,2.736
North Macedonia,41.608635,21.745275,51,51,1,1,0,0,0,0,97,100,93,95,86,79,0,0,0,0,45,39,0,0,0.0,0.0,0.0,0.0,Central and Eastern Europe,5.101,0.051,5.202,5.001,9.693,0.805,65.474,0.751,0.038,0.905,2.43,1.068,0.772,0.535,0.45,0.212,0.022,2.042
Norway,60.472024,8.468946,3,3,0,0,0,1,8,7,0,0,0,0,0,0,99,86,0,70,81,81,0,0,10.4,100.3,82.0,3.35,Western Europe,7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,2.43,1.543,1.108,0.782,0.703,0.249,0.427,2.58
Pakistan,30.375321,69.345116,0,14,0,0,0,0,0,0,64,55,55,45,24,23,35,0,0,0,0,0,0,0,28.25,94.3,9.0,4.45,South Asia,4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784
Panama,8.537981,80.782127,25,23,13,14,13,12,35,31,95,96,75,81,57,68,65,51,36,23,36,19,99,99,18.98,94.4,47.8,3.9,Latin America and Caribbean,6.18,0.073,6.323,6.036,10.35,0.896,69.652,0.872,-0.166,0.856,2.43,1.298,0.976,0.667,0.596,0.079,0.053,2.509
Paraguay,23.442503,58.443832,31,30,0,0,0,0,33,30,93,96,81,79,60,67,61,47,29,23,32,8,98,99,20.57,104.4,34.6,4.81,Latin America and Caribbean,5.653,0.092,5.832,5.473,9.448,0.893,65.9,0.876,0.028,0.882,2.43,0.983,0.97,0.549,0.602,0.206,0.037,2.306
Peru,9.189967,75.015152,1,1,0,0,3,3,15,21,95,95,83,83,78,72,80,70,46,53,46,40,99,99,17.95,106.9,70.7,3.31,Latin America and Caribbean,5.84,0.075,5.988,5.692,9.458,0.832,68.25,0.822,-0.154,0.891,2.43,0.986,0.833,0.623,0.536,0.087,0.031,2.744
Philippines,12.879721,121.774017,14,13,3,3,14,7,24,17,89,95,75,88,74,83,0,0,0,0,19,19,0,0,20.55,107.5,35.5,2.15,Southeast Asia,5.88,0.052,5.982,5.778,9.076,0.83,62.0,0.917,-0.097,0.742,2.43,0.853,0.828,0.426,0.651,0.125,0.126,2.872
Poland,51.919438,19.145136,4,5,2,2,1,3,4,4,0,0,0,0,0,0,98,80,0,0,85,85,0,0,10.2,100.0,67.8,3.47,Central and Eastern Europe,6.166,0.04,6.245,6.087,10.382,0.898,69.702,0.841,-0.165,0.735,2.43,1.309,0.982,0.668,0.558,0.08,0.13,2.438
Portugal,39.399872,8.224454,5,6,0,1,0,0,2,4,0,0,0,0,0,0,97,82,0,0,80,77,100,100,8.5,106.2,63.9,6.33,Western Europe,5.929,0.055,6.037,5.821,10.421,0.879,72.6,0.892,-0.244,0.887,2.43,1.323,0.939,0.76,0.621,0.029,0.033,2.225
South Korea,35.907757,127.766922,1,1,1,1,3,3,4,4,0,0,0,0,0,0,0,97,0,0,85,85,0,0,6.4,98.1,94.3,4.15,East Asia,5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727,2.43,1.403,0.758,0.801,0.353,0.134,0.135,2.262
Moldova,47.411631,28.369885,5,5,9,11,15,16,36,35,99,99,95,98,63,71,0,0,0,0,57,50,0,0,10.1,90.6,39.8,5.47,Commonwealth of Independent States,5.766,0.046,5.856,5.677,9.454,0.857,65.699,0.822,-0.079,0.918,2.43,0.985,0.888,0.542,0.536,0.137,0.013,2.665
Romania,45.943161,24.96676,18,18,12,13,9,9,21,19,0,0,0,0,0,0,0,0,0,0,59,53,99,99,9.6,85.2,49.4,3.98,Central and Eastern Europe,6.14,0.057,6.253,6.027,10.284,0.832,67.355,0.845,-0.219,0.938,2.43,1.275,0.832,0.595,0.564,0.045,0.001,2.83
Russia,61.52401,105.318756,9,10,1,0,2,1,3,3,0,0,0,0,0,0,0,0,99,89,78,78,100,100,11.5,102.6,81.9,4.59,Commonwealth of Independent States,5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148
Rwanda,1.940278,29.873888,48,47,6,6,6,2,50,49,48,61,25,30,19,16,0,0,0,0,0,0,84,89,31.7,133.0,6.7,1.03,Sub-Saharan Africa,3.415,0.068,3.548,3.282,7.676,0.552,61.4,0.897,0.061,0.167,2.43,0.364,0.202,0.407,0.627,0.227,0.493,1.095
Saudi Arabia,23.885942,45.079162,51,48,1,3,0,3,3,9,0,0,0,0,0,0,63,16,0,0,48,11,0,0,17.8,99.8,68.0,5.93,Middle East and North Africa,6.494,0.056,6.604,6.384,10.743,0.891,66.603,0.877,-0.149,0.684,2.43,1.435,0.964,0.571,0.603,0.09,0.163,2.668
Senegal,14.497401,14.452362,85,83,30,21,0,0,0,0,44,50,27,30,11,10,29,63,35,29,9,8,0,0,34.52,81.0,12.8,6.6,Sub-Saharan Africa,5.132,0.068,5.266,4.998,8.118,0.71,59.802,0.695,-0.046,0.801,2.43,0.518,0.558,0.357,0.381,0.158,0.088,3.071
Serbia,44.016521,21.005859,9,10,2,2,2,2,14,11,99,100,99,99,71,81,0,0,0,72,62,60,0,0,9.2,100.3,67.2,12.69,Central and Eastern Europe,6.078,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835,2.43,1.101,0.924,0.634,0.482,0.189,0.066,2.682
Sierra Leone,8.460555,11.779889,58,57,2,2,49,49,64,67,63,65,47,42,27,18,6,0,0,0,0,0,71,63,33.41,112.8,2.0,4.43,Sub-Saharan Africa,3.849,0.077,4.001,3.698,7.434,0.63,51.651,0.717,0.084,0.866,2.43,0.279,0.377,0.1,0.408,0.243,0.047,2.396
Singapore,1.352083,103.819836,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97,93,0,0,89,94,100,100,8.8,100.6,84.8,4.11,Southeast Asia,6.377,0.043,6.46,6.293,11.488,0.915,76.953,0.927,-0.018,0.082,2.43,1.695,1.019,0.897,0.664,0.176,0.547,1.379
Slovakia,48.669026,19.699024,15,17,5,4,5,5,11,11,0,0,0,0,0,0,0,0,93,65,69,75,0,0,10.6,98.7,46.6,5.56,Central and Eastern Europe,6.331,0.041,6.411,6.251,10.369,0.936,69.201,0.766,-0.124,0.911,2.43,1.304,1.066,0.653,0.468,0.107,0.018,2.714
Slovenia,46.151241,14.995463,5,6,1,0,2,1,2,1,0,0,0,0,0,0,96,75,0,0,82,84,0,0,9.4,100.4,78.6,4.2,Central and Eastern Europe,6.461,0.043,6.546,6.376,10.529,0.948,71.4,0.949,-0.101,0.806,2.43,1.36,1.093,0.722,0.69,0.122,0.085,2.388
South Africa,30.559482,22.937506,28,27,12,10,16,13,22,20,95,98,85,91,45,52,22,0,0,13,0,0,0,0,20.51,100.9,22.4,28.18,Sub-Saharan Africa,4.956,0.06,5.074,4.839,9.403,0.86,56.904,0.749,-0.067,0.86,2.43,0.967,0.895,0.265,0.447,0.144,0.051,2.187
Spain,40.463667,3.74922,5,5,3,3,1,1,2,1,0,0,0,0,0,0,97,67,0,0,84,75,100,100,7.9,102.7,88.9,13.96,Western Europe,6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513
Sri Lanka,7.873054,80.771797,0,0,2,3,0,0,18,13,99,99,94,96,32,43,0,0,0,0,0,0,99,99,15.83,100.2,19.6,4.2,South Asia,4.325,0.066,4.454,4.196,9.47,0.827,67.299,0.841,0.079,0.863,2.43,0.99,0.82,0.593,0.559,0.239,0.049,1.075
Sweden,60.128161,18.643501,0,0,0,0,0,0,1,3,0,0,0,0,0,0,98,75,0,0,82,81,0,0,11.4,126.6,67.0,6.48,Western Europe,7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683
Switzerland,46.818188,8.227512,1,0,0,0,1,1,16,20,0,0,0,0,0,0,0,0,0,0,76,83,0,0,10.0,105.2,59.6,4.58,Western Europe,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839
Tajikistan,38.861034,71.276093,87,88,1,2,0,0,0,0,99,98,95,93,80,63,0,0,0,0,0,0,0,0,30.76,100.9,31.3,11.02,Commonwealth of Independent States,5.466,0.034,5.532,5.4,8.091,0.86,64.281,0.832,-0.056,0.553,2.43,0.508,0.895,0.498,0.548,0.152,0.247,2.619
Thailand,15.870032,100.992541,1,1,0,0,0,0,21,21,98,99,81,92,59,72,0,0,0,0,40,47,98,99,10.34,99.8,49.3,0.75,Southeast Asia,5.985,0.047,6.077,5.893,9.805,0.888,67.401,0.884,0.287,0.895,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309
Togo,8.619543,0.824782,1,7,2,4,15,28,47,66,83,76,55,39,31,12,19,40,16,20,0,0,0,0,33.11,123.8,14.5,2.04,Sub-Saharan Africa,4.107,0.077,4.258,3.956,7.362,0.569,54.914,0.619,0.032,0.772,2.43,0.254,0.239,0.203,0.289,0.209,0.107,2.806
Tunisia,33.886917,9.537499,0,0,0,0,0,0,0,0,94,97,68,80,40,57,47,0,0,0,28,25,0,0,17.56,115.4,31.7,16.02,Middle East and North Africa,4.596,0.058,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,0.87,2.43,0.919,0.515,0.59,0.334,0.057,0.044,2.138
Turkey,38.963745,35.243322,23,25,5,5,6,7,17,17,99,98,96,92,51,44,0,0,0,57,74,42,0,0,16.03,93.2,23.9,13.49,Middle East and North Africa,4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852
Turkmenistan,38.969719,59.556278,0,0,0,0,0,0,0,0,100,100,99,100,93,95,0,0,0,0,0,0,0,0,23.83,88.4,8.0,3.91,Commonwealth of Independent States,5.066,0.036,5.136,4.996,9.629,0.983,62.409,0.877,0.273,0.888,2.43,1.046,1.172,0.439,0.602,0.366,0.033,1.409
Uganda,1.373333,32.290275,0,0,6,3,0,0,0,0,39,43,27,23,18,15,33,21,0,0,0,0,89,90,38.14,102.7,4.8,1.84,Sub-Saharan Africa,4.636,0.073,4.78,4.493,7.677,0.781,56.101,0.709,0.122,0.855,2.43,0.364,0.718,0.24,0.398,0.267,0.054,2.596
Ukraine,48.379433,31.16558,0,0,9,7,4,3,7,4,100,99,100,100,97,97,0,0,0,0,74,64,0,0,8.7,99.0,82.7,8.88,Commonwealth of Independent States,4.875,0.052,4.977,4.773,9.436,0.888,64.902,0.724,-0.011,0.924,2.43,0.979,0.958,0.517,0.417,0.181,0.01,1.813
United Arab Emirates,23.424076,53.847818,0,0,8,5,2,3,2,2,0,0,0,0,0,0,68,42,0,0,57,46,0,0,10.33,108.4,36.8,2.35,Middle East and North Africa,6.561,0.039,6.637,6.484,11.085,0.844,67.333,0.932,0.074,0.589,2.43,1.555,0.86,0.594,0.67,0.236,0.223,2.422
United Kingdom,55.378051,3.435973,3,0,1,1,2,2,5,4,0,0,0,0,0,0,0,0,0,0,83,81,0,0,11.0,101.2,60.0,3.85,Western Europe,7.064,0.038,7.138,6.99,10.707,0.934,72.5,0.859,0.233,0.459,2.43,1.423,1.062,0.757,0.58,0.34,0.306,2.596
Tanzania,6.369028,34.888822,45,42,15,12,0,0,84,88,75,84,31,27,32,27,0,0,0,0,0,0,0,0,36.7,94.2,4.0,1.98,Sub-Saharan Africa,3.623,0.071,3.762,3.485,7.876,0.702,57.999,0.833,0.183,0.577,2.43,0.433,0.54,0.3,0.549,0.307,0.231,1.263
United States,37.09024,95.712891,12,8,1,1,3,1,4,3,0,0,0,0,0,0,0,0,0,0,81,73,0,0,11.6,101.8,88.2,14.7,North America and ANZ,6.951,0.049,7.047,6.856,11.023,0.92,68.2,0.837,0.098,0.698,2.43,1.533,1.03,0.621,0.554,0.252,0.154,2.807
Uruguay,32.522779,55.765835,2,1,3,3,1,0,15,9,96,98,66,73,48,29,80,75,59,68,58,49,99,99,13.86,108.5,63.1,8.73,Latin America and Caribbean,6.431,0.046,6.521,6.341,9.966,0.925,69.1,0.896,-0.092,0.59,2.43,1.164,1.042,0.649,0.625,0.128,0.223,2.6
Uzbekistan,41.377491,64.585262,53,55,0,2,0,2,14,15,0,0,0,0,0,0,0,0,0,0,0,0,100,100,23.3,104.2,10.1,5.92,Commonwealth of Independent States,6.179,0.068,6.312,6.045,8.836,0.918,65.255,0.97,0.311,0.515,2.43,0.769,1.027,0.528,0.716,0.391,0.271,2.477
Venezuela,6.42375,66.58973,14,14,10,10,15,13,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.88,97.2,79.3,8.8,Latin America and Caribbean,4.892,0.064,5.017,4.767,9.073,0.861,66.7,0.615,-0.169,0.827,2.43,0.852,0.897,0.574,0.284,0.078,0.072,2.135
Vietnam,14.058324,108.277199,0,0,0,0,0,0,0,0,96,97,81,87,50,61,0,0,55,51,86,81,98,98,16.75,110.6,28.5,2.01,Southeast Asia,5.411,0.039,5.488,5.334,8.973,0.85,68.034,0.94,-0.098,0.796,2.43,0.817,0.873,0.616,0.679,0.124,0.091,2.211
Yemen,15.552727,48.516388,96,96,10,21,23,34,46,68,70,55,55,39,37,23,0,0,0,0,0,0,0,0,30.45,93.6,10.2,12.91,Middle East and North Africa,3.658,0.07,3.794,3.521,7.578,0.832,57.122,0.602,-0.147,0.8,2.43,0.329,0.831,0.272,0.268,0.092,0.089,1.776
Zambia,13.133897,27.849332,0,0,17,13,0,0,0,0,71,73,54,50,33,27,0,0,0,0,5,2,93,92,36.19,98.7,4.1,11.43,Sub-Saharan Africa,4.073,0.069,4.209,3.938,8.145,0.708,55.809,0.782,0.061,0.823,2.43,0.528,0.552,0.231,0.487,0.227,0.074,1.975
Zimbabwe,19.015438,29.154857,60,58,0,0,0,0,45,50,86,92,45,53,17,14,20,0,0,0,0,0,0,0,30.68,109.9,10.0,4.95,Sub-Saharan Africa,3.145,0.058,3.259,3.03,7.943,0.75,56.201,0.677,-0.047,0.821,2.43,0.457,0.649,0.243,0.359,0.157,0.075,1.205
